"2018-07-05","1"
"2018-05-24","2"
"2018-05-25","2"
"2018-07-03","5"
"2018-05-22","2"
"2018-07-02","1"
"2018-05-23","15"
"2018-07-09","1"
"2018-05-28","1"
"2018-05-29","4"
"2018-07-06","2"
"2018-07-12","5"
"2018-05-31","1"
"2018-07-11","1"
"2018-07-10","3"
"2018-05-30","3"
"2018-06-26","3"
"2018-06-25","2"
"2018-05-14","4"
"2018-05-11","1"
"2018-05-12","1"
"2018-05-17","2"
"2018-06-29","1"
"2018-05-18","4"
"2018-06-28","3"
"2018-06-27","2"
"2018-05-16","3"
"2018-05-21","4"
"2018-05-08","9"
"2018-05-09","3"
"2018-06-15","2"
"2018-06-14","1"
"2018-06-13","1"
"2018-06-12","3"
"2018-06-18","4"
"2018-05-07","6"
"2018-05-04","1"
"2018-06-16","1"
"2018-05-05","6"
"2018-06-21","2"
"2018-05-10","6"
"2018-06-20","1"
"2018-07-16","2"
"2018-06-04","5"
"2018-06-02","1"
"2018-07-13","1"
"2018-06-01","3"
"2018-06-08","2"
"2018-07-19","1"
"2018-06-07","2"
"2018-06-06","3"
"2018-06-05","14"
"2018-06-11","3"
"2018-07-21","2"
"2018-07-20","1"
